"ModelCode","Units","MPRAT","SOURCE","Index1","Index2","Index3","Index4","WMUType"
"Kdsoil","(ml/g)","Kdsoil",,,,,,
"KdVary","unitless",,"KdVary",,,,,
"kh","1/day","kh","ChemHydRate",1,,,,
"Koc","mL/g","Koc","ChemKoc",1,,,,
"KpPar","(1/yr)","KpPar",,,,,,
"Ksat","(cm/h)","Ksat","Ksat",1,1,,,
"Ksat","(cm/h)","Ksat","Ksat",1,2,,,
"ksoil","1/day",,"ChemAerBioRate",1,,,,"LAU"
"Kwmu","(kg/m2)",,"Kwmu",,,,,
"Lc","unitless",,"Lc",,,,,
"Length_c","(cm)",,"Length_c",,,,,
"LogKow","(unitless)","LogKow",,,,,,
"LS","(unitless)","LS",,,,,,
"MetDir",,,"MetDir",,,,,
"MF","(unitless)","MF",,,,,,
"mt","(m)",,"mt",,,,,
"Nappl","1/year",,"Nappl",,,,,
"NumChem",,"Dw ","NumChem",,,,,
"NumSplineConc",,,"NumSplineConc",,,,,
"NumSplinepH",,,"NumSplinepH",,,,,
"NumWSSub",,,"NumWSSub",,,,,
"nv","1/d",,"nv",,,,,
"nw","unitless",,"nw",,,,,
"NyrMax","(yr)","NyrMax","NyrMax",,,,,
"OutputDB",,,"OutputDB",,,,,
"P","(unitless)","P","P",1,1,,,
"P","(unitless)","P","P",1,2,,,
"Pc","atm",,"Pc",,,,,
"pH","pH Units",,"pH",,,,,
"pHFreq","1/yr?",,"pHFreq",,,,,
"pHParams",,,"pHParams",,,,,
"PI","(percent)","PI",,,,,,
"Pwmu","unitless",,"Pwmu",,,,,
"Q ","[g/(s-m2)]","Q ",,,,,,
"R","(1/yr)","R",,,,,,
"Rappl","Mg/m2-year",,"Rappl",,,,,
"RCF","(ug/g WW plant) / ug/mL soil water)","RCF",,,,,,
"Rech","(cm/yr)","Rech",,,,,,
"Rf","(cm/yr)","Rf",,,,,,
"RunID","unitless",,"RunID",,,,,
"Runoff_LWS","(m3/day)","Runoff_LWS",,,,,,
"Runoff_RWS","(m3/day)","Runoff_RWS",,,,,,
"SiteID",,,"MetSta",,,,,
"SiteLatitude","degrees",,"SiteLatitude",,,,,
"SiteSeed",,,"SiteSeed",,,,,
"SMb","(unitless)","b","SMb",1,1,,,
"SMb","(unitless)","b","SMb",1,2,,,
"SMFC","volume %",,"SMFC",1,1,1,,
"SMFC","volume %",,"SMFC",1,1,2,,
"SMFC","volume %",,"SMFC",1,1,3,,
"SMFC","volume %",,"SMFC",1,1,4,,
"SMFC","volume %",,"SMFC",1,2,1,,
"SMFC","volume %",,"SMFC",1,2,2,,
"SMFC","volume %",,"SMFC",1,2,3,,
"SMFC","volume %",,"SMFC",1,2,4,,
"SMWP","volume %",,"SMWP",1,1,1,,
"SMWP","volume %",,"SMWP",1,1,2,,
"SMWP","volume %",,"SMWP",1,1,3,,
"SMWP","volume %",,"SMWP",1,1,4,,
"SMWP","volume %",,"SMWP",1,2,1,,
"SMWP","volume %",,"SMWP",1,2,2,,
"SMWP","volume %",,"SMWP",1,2,3,,
"SMWP","volume %",,"SMWP",1,2,4,,
"Sol","mg/L","Sol","ChemSol",1,1,,,
"Sol","mg/L","Sol","ChemSol",1,2,,,
"Sol","mg/L","Sol","ChemSol",1,3,,,
"Sol","mg/L","Sol","ChemSol",1,4,,,
"Sol","mg/L","Sol","ChemSol",1,5,,,
"Sol","mg/L","Sol","ChemSol",1,6,,,
"Sol","mg/L","Sol","ChemSol",1,7,,,
"Sol","mg/L","Sol","ChemSol",1,8,,,
"solid","mass percent",,"solid",,,,,
"SrcLWSNumSubArea",,,"SrcLWSNumSubArea",1,,,,
"SrcLWSSubAreaIndex","unitless",,"SrcLWSSubAreaIndex",1,,,,
"SrcNumLWS",,,"SrcNumLWS",,,,,
"SrcType",,,"SrcType",,,,,
"Ss","mass percent",,"Ss",,,,,
"Sw","mass percent",,"Sw",,,,,
"tb","degC",,"tb",,,,,
"tc","degC",,"tc",,,,,
"td",,"td",,,,,,
"TEF","(unitless)","TEF",,,,,,
"TermFrac","fraction",,"TermFrac",,,,,
"Theta","degrees",,"Theta",1,,,,
"thetawZ1d","volume fraction",,"thetawZ1d",,,,,
"thetawZ2d","volume fraction",,"thetawZ2d",,,,,
"Tilled","unitless",,"Tilled",,,,,
"TSS","(mg/L)","TSS",,,,,,
"Twater","(K)","Twater",,,,,,
"U ","(m/s)","U ",,,,,,
"uw ","(m/sec)","uw ",,,,,,
"Vdv","(cm/s)","Vdv",,,,,,
"veg","fraction",,"veg",,,,,
"vs","km/h",,"vs",,,,,
"vw","Mg",,"vw",,,,,
"WCS","(ml/cm3)","n","WCS",1,1,,,
"WCS","(ml/cm3)","n","WCS",1,2,,,
"WSPh","pH units",,"WSPh",,,,,
"X","m",,"X",1,1,,,
"X","m",,"X",1,2,,,
"zava","m",,"zava",,,,,
"zavb","m",,"zavb",,,,,
"zruf","cm",,"zruf",,,,,
"Zt","(cm) ","Zt",,,,,,
"Zu","(cm) ","Zu",,,,,,
"zZ1sa","m",,"zZ1sa",,,,,
"zZ1WMU","m",,"zZ1WMU",,,,,
"zZ2WMU","m",,"zZ2WMU",,,,,
"d_liner","m",,"d_liner",,,,,
"d_setpt","fraction",,"d_setpt",,,,,
"d_wmu","m",,"d_wmu",,,,,
"DBGS","m",,"DBGS",,,,,
"dmeanTSS","cm",,"dmeanTSS",,,,,
"F_aer","fraction",,"F_aer",,,,,
"hydc_liner","m/s",,"hydc_liner",,,,,
"hydc_sed","m/s",,"hydc_sed",,,,,
"Infil_CompLiner","m/d",,"Infil_CompLiner",,,,,
"J","lb O2/h-hp",,"J",,,,,
"k_dec","1/s",,"k_dec",,,,,
"rho_l","g/cm3",,"rho_l",,,,,
"rho_part","g/cm3",,"rho_part",,,,,
"SedAlpha","1/cm",,"SedAlpha",,,,,
"SedBeta","unitless",,"SedBeta",,,,,
"TSS_in","g/cm3",,"TSS_in",,,,,
"TSS_out","g/cm3",,"TSS_out",,,,,
"w_imp","rad/s",,"w_imp",,,,,
"NumEcon",,,"NumEcon",,,,,
"kba1","unitless",,"kba1",,,,,
"LinerAlpha","1/cm",,"LinerAlpha",,,,,
"LinerBeta","unitless",,"LinerBeta",,,,,
"LinerType",,,"LinerType",,,,,
"MWt_H2O","g/mol",,"MWt_H2O",,,,,
"n_imp","unitless",,"n_imp",,,,,
"O2Eff","unitless",,"O2Eff",,,,,
"Powr","hp",,"Powr",,,,,
"Q_wmu","m3/s",,"Q_wmu",,,,,
"EconLife","year",,"EconLife",,,,,
"bio_yield","g/g",,"bio_yield",,,,,
"CBOD","g/cm3",,"CBOD",,,,,
"d_imp","cm",,"d_imp",,,,,
"kaer","1/day",,"ChemAerBioRate",1,,,,"SI"
