"Modules","Category","SubCategory","ModelCode","Units","Description","Value","RefID","Comment","ValueType","MinValue","MaxValue","Temp","DataSource","DataTable","MayBeNonNumeric","ParameterCode"
,,,"asdm","[mm]","Mode of the aggregate size distribution","Specific",,,,,,"","Based on U.S. EPA, 1989","Fate_constant:Constant",0,"asdm"
,,,"bcm","NA","Lower boundary condition multiplier","Specific",,,,,,"","RTI, 2000","Fate_constant:System",0,"bcm"
,,,"BD","[g/cm3]","Bulk density (soil)","Specific",,,,,,"",,"Fate_constant:Soil",0,"Bdsoil"
,,,"BDw","[g DW/cm3]","Dry bulk density (biosolids)","Specific",,,,,,"","need ref from Steve","Fate_constant:Constant",0,"Bdwaste"
,,,"bsp","[fraction]","Porosity (bed sediment)","Specific",,,,,,"","U.S.EPA, 1998","Fate_constant:Constant",0,"bsp"
,,,"C","[fraction]","USLE cover management factor","Specific",,,,,,"",,"Fate_constant:Landuse",0,"C"
,,,"CAS","NA","Chemical Abstracts Service number","Chemical Specific",,"required","Constant",50000.00,,"3380345",,"Chemical_constant",0,"CAS"
,,,"ChemName","NA","Chemical name","Chemical Specific",,"required","Constant",,,"Triclosan",,"Chemical_constant",0,"ChemName"
,,,"ChemType","NA","Type of chemical (organic, metal/inorganic)","Chemical Specific",,"required","Constant",,,"O",,"Chemical_constant",1,"ChemType"
,,,"CN","[dimensionless ratio]","SCS curve number (watershed)","Specific",,,,,,"",,"Fate_constant:SoilGroup",0,"Cnwatershed"
,,,"CNwmu","[dimensionless ratio]","SCS curve number (field)","Specific",,,,,,"",,"Fate_constant:SoilGroup",0,"CNwmu"
,,,"ConVs","[m/day]","Settling velocity","Specific",,,,,,"",,"Fate_constant:Distn",0,"ConVs"
,,,"CTPWasteDry","[ug/g DW]","Dry biosolids concentration","Chemical Specific",,"CTPWaste is used by model",,1.0e-15,1.0e+06,"62.2",,"Chemical_constant",0,"CTPWasteDry"
,,,"CubicPolyYCoeff","NA","Parameter used in spline calculations",,,,,,,"",,"tbl_Model_Parameters:System",0,"CubicPolyYCoeff"
,,,"CutOffYr","[yrs]","Number of year of biosolids applications to field","Specific",,,,,,"",,"Fate_constant:Distn",0,"OpLife"
,,,"Cwmu","[fraction]","USLE cover factor (field)","Specific",,,,,,"",,"Fate_constant:Landuse",0,"Cwmu"
,,,"DAF","[mg/L leachate]/[mg/L GW]","Dilution attenuation factor for groundwater","1",144,"Current value stored in temp field","Constant",,,"1",,"tbl_Model_Parameters:System",0,"DAF"
,,,"db","[m]","Depth of upper benthic layer","Specific",,,,,,"","U.S.EPA, 1998","Fate_constant:Constant",0,"db"
,,,"DelT","[days]","Time step","Specific",,,,,,"",,"Fate_constant:System",0,"DelT"
,,,"deltDiv","NA","Time step divider for debugging","Specific",,,,,,"",,"Fate_constant:System",0,"deltDiv"
,,,"DRZ","[cm]","Root zone depth","Specific",,,,,,"",,"Fate_constant:Distn",0,"DRZ"
,,,"DTR","[m2/m3]","Drainage area to capacity ratio (watershed)","Specific",,,,,,"",,"Fate_constant:Site",0,"DTR"
,,,"dwc_3","[m]","Water column depth (index reservoir)","Specific",,,,,,"","Based on data in U.S. EPA, 2001. FQPA Index Reservoir Screening Tool","Fate_constant:Constant",0,"dwc_reservoir"
,,,"dwc_5","[m]","Water column depth (farm pond)","Specific",,,,,,"",,"Fate_constant:Constant",0,"dwc_pond"
,,,"Dynamic","NA","Y = dynamic, N = steady-state","Specific",,,,,,"",,"Fate_constant:System",0,"Dynamic"
