775,22.45,4.27,.00228,0.00405,5,26.1, 19.2 
875,21.43,4.03,.00165,0.00332,4,25.7, 15.7 
975,15.08,3.77,.00021,0.00225,4,20.9, 6.6 
1075,11.67,4.21,.00025,0.00184,4,21.1,-1.7 
1175,2.21,4.49,.00159,0.00107,5,13.6,-8.4 
1275,2.15,4.16,.00039,0.00103,6,9.6,-11.1 
176,-.33,4.33,.00016,0.00097,5,9.4,-13.8 
276,4.22,5.36,.00048,0.00141,6,12.9,-12.8 
376,3.15,5.1,.0011,0.00132,5,12.9,-11.2 
476,9.49,5.12,.00108,0.00198,7,14.7, 2.6 
576,13.6,4.61,.00112,0.00241,7,19.9, 7.2 
676,19.42,4.84,.00055,0.00332,5,25.5, 9.7 
776,23.36,3.76,.00192,0.00364,5,27.3, 19.5 
876,20.75,3.69,.00206,0.00317,5,23.9, 16.1 
976,16.11,3.39,.0016,0.0021,6,23.6, 6.7 
1076,8.36,3.8,.00077,0.00149,4,17.9, 0.4 
1176,3.09,3.75,.00028,0.00102,6,10.7,-15.6 
1276,1.28,3.86,.00013,0.00089,4,7.9,-8.1 
177,-2.15,3.57,.00015,0.0007,5,5.4,-13.9 
277,3.04,3.99,.00025,0.00103,6,11.1,-3.4 
377,3.95,4.84,.00102,0.00122,5,12.5,-4.8 
477,10.33,3.88,.00181,0.00157,6,18.6,-1.3 
577,16.3,4.85,.00029,0.00294,6,21, 9.5 
677,22.14,4.1,.00088,0.00364,6,27, 18.2 
777,23.09,3.6,.00246,0.0034,6,27.8, 17.1 
877,20.83,3.42,.00083,0.00299,6,23.9, 15.2 
977,19.08,3.84,.0001,0.00267,5,24.5, 14.5 
1077,11.33,3.26,.0004,0.00138,4,16.2, 4 
1177,4.33,3.97,.00051,0.00118,5,13.2,-8.9 
1277,1.89,4.12,.00003,0.00101,6,11.1,-13.1 
178,-3.63,2.74,.00024,0.00047,7,4.6,-12.1 
278,-.93,3.15,.00027,0.00062,7,7.2,-9.3 
378,6.15,3.65,.00089,0.00119,7,17.7,-13.2 
478,10.0,4.61,.00155,0.00178,6,16.4,-0.2 
578,12.67,4.08,.00285,0.00212,6,22.6, 0.3 
678,19.49,3.57,.0010,0.00282,6,25.3, 6.7 
778,23.54,3.72,.00046,0.00349,4,27.2, 17.4 
878,20.63,3.63,.00024,0.0030,5,24.5, 11.7 
978,18.47,3.58,.00007,0.00247,3,24.7, 5 
1078,11.12,3.14,.00119,0.00138,4,19.6, 2.4 
1178,2.7,3.19,.00044,0.00086,6,14.3,-5.6 
1278,-4.47,3.73,.00068,0.00063,6,6.3,-18.2 
179,-7.81,3.02,.0003,0.00037,6,3.7,-17.5 
279,.34,3.38,.00039,0.0008,6,10.5,-11.3 
379,4.61,3.95,.00103,0.00113,7,12.6,-3.5 
479,9.61,4.11,.0012,0.00166,5,18.5,-2.1 
579,12.42,3.76,.00291,0.00189,7,19, 0.1 
679,18.98,3.69,.00204,0.00291,4,24.5, 7.4 
779,22.98,3.37,.00068,0.00334,5,26.5, 17.5 
879,20.39,3.32,.0048,0.00267,5,27.7, 13.6 
979,18.93,3.65,.00031,0.00269,3,24.8, 10.9 
1079,11.7,3.81,.00105,0.00172,5,19.7,-0.6 
1179,.04,3.43,.00141,0.00059,5,6.7,-9.4 
1279,1.08,3.58,.00087,0.00085,5,9.1,-10.1 
180,-3.33,3.26,.00054,0.00064,7,9.3,-16.5 
280,1.29,3.46,.0004,0.00086,6,11.2,-12.1 
380,3.4,3.85,.00095,0.00101,7,11.3,-7.5 
480,8.86,3.75,.00216,0.00137,6,19.2,-1 
580,13.88,3.65,.00226,0.00201,6,20, 6.1 
680,22.84,3.75,.00009,0.00303,4,27.1, 17 
780,24.49,3.59,.00241,0.00383,4,28.7, 20 
880,22.67,3.7,.00137,0.00345,5,27.4, 15.6 
980,18.97,3.28,.00054,0.0024,4,24.7, 12.2 
1080,10.9,3.26,.00009,0.0014,4,18.1, 0.5 
1180,5.3,3.37,.00057,0.00105,5,17.2,-4.3 
1280,4.93,3.52,.0001,0.00107,6,13.7,-5.4 
181,1.93,3.01,.00024,0.00072,4,8.4,-4.7 
281,2.4,3.92,.00032,0.00105,5,12.8,-18.9 
381,4.95,4.06,.00186,0.00119,6,12.9,-2.4 
481,13.47,4.0,.00087,0.0020,6,21, 3.5 
581,13.62,4.37,.0031,0.00227,7,20.5, 6.6 
681,21.49,3.85,.00054,0.00349,6,26.5, 12.8 
781,24.06,3.69,.00076,0.0038,6,28.3, 17.4 
881,21.7,3.16,.00098,0.00303,6,28.1, 15 
981,19.76,2.77,.00031,0.00234,5,22.9, 14.1 
1081,11.21,2.85,.00066,0.00139,5,19.2, 0.5 
1181,7.4,2.4,.00036,0.00094,5,13.8,-2.6 
1281,1.87,2.69,.00055,0.00074,6,11.8,-9.6 
182,-.64,3.47,.00026,0.0008,6,12.5,-10.6 
282,.01,3.36,.00009,0.00086,5,13,-21.1 
382,5.3,4.11,.00016,0.00126,6,10.7,-4.5 
482,8.8,4.54,.0003,0.00157,5,17.1,-2.2 
582,12.69,3.61,.00286,0.00181,7,20.5, 3.2 
682,17.1,3.47,.00192,0.00241,6,25.4, 10.5 
782,22.62,3.33,.00077,0.00303,5,29.9, 15 
882,22.29,3.46,.00096,0.00339,7,26.6, 18.4 
982,16.1,3.38,.00118,0.00213,7,23.9, 5.6 
1082,9.0,3.09,.00124,0.0013,5,15.1, 1.1 
1182,1.44,3.04,.00041,0.00073,5,9.4,-5.9 
1282,-1.06,3.8,.00192,0.00073,6,8.2,-13.9 
184,-2.93,3.15,.00015,0.0006,4,5.8,-17.7 
284,.87,4.09,.00072,0.00092,5,7.3,-6.2 
384,2.79,3.92,.00098,0.00099,6,12.2,-5.9 
484,5.53,4.76,.00206,0.00131,6,14.7,-2.1 
584,15.77,3.96,.00054,0.00254,6,23.1, 6.6 
684,18.96,3.53,.00108,0.00276,5,24.2, 13.6 
784,23.41,3.23,.00174,0.00341,5,26.5, 19.8 
884,21.71,2.93,.00263,0.00282,6,24.3, 17.8 
984,15.77,3.1,.00042,0.00205,5,25.1,-0.2 
1084,6.82,2.77,.00286,0.00096,6,16.2,-2.1 
1184,4.01,3.32,.00023,0.0010,5,11.6,-3.9 
1284,.36,3.21,.00039,0.00071,5,10.3,-9.3 
185,-3.9,2.96,.00056,0.00052,6,6.7,-20.4 
285,-2.67,3.29,.00054,0.00068,5,8.8,-20.6 
385,5.11,4.6,.00057,0.00132,5,15.4,-5.7 
485,10.49,3.98,.00222,0.00164,6,18.7, 1.7 
585,15.64,3.87,.0011,0.0023,6,21.2, 6.6 
685,20.06,3.7,.00124,0.00296,6,27.3, 11.7 
785,22.29,3.56,.00305,0.00332,6,27.7, 18.2 
885,22.52,3.4,.00025,0.00322,4,26.7, 16.8 
985,14.55,3.53,.00198,0.00221,6,22,-4.2 
1085,9.88,3.34,.00064,0.00142,4,16.4, 0.4 
1185,-1.68,3.0,.00104,0.00065,7,10.6,-14.5 
1285,-1.64,3.35,.00055,0.00072,5,5.3,-17.1 
186,4.12,3.87,.00018,0.00104,5,11.4,-3.9 
286,2.17,3.92,.00061,0.00118,7,12.9,-13 
386,8.39,3.64,.00036,0.00135,7,17.1,-1.2 
486,9.85,4.48,.00221,0.00184,6,17.7,-0.6 
586,13.71,3.78,.00108,0.00199,6,21.6, 4.8 
686,21.03,3.75,.00092,0.00329,6,28.1, 12 
786,22.78,3.5,.00141,0.00341,6,27.4, 18.5 
886,22.0,3.53,.00045,0.00331,6,27.6, 19.1 
986,15.44,3.16,.00037,0.00192,6,20.4, 9.9 
1086,9.39,3.23,.00148,0.00127,6,14.2,-2.5 
1186,3.28,3.1,.00091,0.00083,6,10.1,-9.3 
1286,-1.35,2.54,.00026,0.00051,5,3.4,-9.8 
187,-.21,3.47,.00057,0.00079,6,7.9,-14.5 
287,1.86,3.14,.00111,0.00074,7,11.2,-6.4 
387,3.5,4.16,.00111,0.00108,7,11.8,-10.2 
487,11.28,4.5,.00088,0.00194,6,19.7, 0.4 
587,14.82,3.67,.00381,0.00211,7,20.4, 6.2 
687,20.45,3.77,.00298,0.00313,5,24.5, 13.6 
787,23.56,3.63,.00064,0.00371,4,27.3, 12 
887,21.0,3.31,.00165,0.0029,6,26.7, 14 
987,16.49,2.97,.00059,0.00202,5,22.4, 9.9 
1087,10.69,3.0,.00102,0.00138,5,18.2, 0.2 
1187,3.6,2.87,.00138,0.00079,5,11.9,-4.3 
1287,-2.02,3.23,.00107,0.00068,6,11.1,-12.6 
188,-3.99,3.84,.00033,0.00068,6,7.4,-16.2 
288,.72,3.61,.00054,0.00085,5,8.4,-10.7 
388,3.51,4.63,.00106,0.00119,6,13.5,-5.7 
488,10.12,3.9,.00056,0.00177,6,19.9,-2.2 
588,15.24,5.12,.0035,0.00278,6,22.7, 4.2 
688,22.08,3.99,.00109,0.00377,6,27.6, 15.8 
788,23.3,3.65,.00181,0.00367,5,27, 14.6 
888,22.9,3.5,.00151,0.00343,5,27.4, 18.4 
988,16.76,3.68,.00077,0.00234,4,23.9, 6.8 
1088,11.88,3.29,.00006,0.00164,4,17.1, 3.7 
1188,4.65,4.03,.00041,0.00126,5,13.8,-5.1 
1288,-1.13,3.35,.00086,0.00068,4,10.8,-12.2 
189,.79,4.0,.00094,0.00086,4,9.7,-10.1 
289,-5.68,3.13,.00061,0.00044,7,10.1,-25.2 
389,6.14,3.82,.00047,0.00133,6,15.6,-13.4 
489,10.66,4.49,.00086,0.00197,7,22.3,-4.5 
589,15.11,4.05,.00314,0.00228,6,24.2, 8.2 
689,18.3,3.76,.00175,0.00275,6,26.8, 10.3 
789,24.48,3.83,.00135,0.00391,4,30, 17.6 
889,21.71,3.73,.00106,0.00338,5,25.7, 17.8 
989,16.88,3.83,.00132,0.00251,5,24.4, 2 
1089,10.48,3.37,.00067,0.00146,4,19.2,-0.2 
1189,5.78,3.69,.00013,0.00123,4,14.5,-4.2 
1289,-2.6,3.13,.00067,0.00063,6,11.5,-19.5 
190,2.07,3.98,.00061,0.00099,5,11.6,-4.8 
290,.58,3.55,.0005,0.0008,6,9,-14.1 
390,3.95,3.35,.00255,0.00085,7,12.3,-6.5 
490,9.33,3.81,.00087,0.00157,7,18,-0.9 
590,13.6,4.02,.00124,0.00218,6,21.1, 3.8 
690,22.48,4.26,.00019,0.00376,3,29.1, 15.8 
790,21.08,3.31,.00294,0.00285,6,28.9, 14.3 
890,21.16,3.16,.00161,0.00278,6,26.2, 16.3 
990,18.91,2.87,.00124,0.00235,4,24.6, 11 
1090,10.83,3.11,.00085,0.00142,5,18.7, 0.7 
1190,6.4,3.74,.00108,0.00109,5,15.5,-6.7 
1290,-4.24,3.09,.00023,0.00059,5,11,-26 
